time [nanoSec],	 voltage[mV] 
9766,	 -0.007279
9768,	 -0.006932
9770,	 -0.007105
9772,	 -0.006932
9774,	 -0.007105
9776,	 -0.007105
9778,	 -0.007105
9780,	 -0.006412
9782,	 -0.007279
9784,	 -0.006932
9786,	 -0.007451
9788,	 -0.006932
9790,	 -0.007451
9792,	 -0.007451
9794,	 -0.007625
9796,	 -0.007105
9798,	 -0.007625
9800,	 -0.007451
9802,	 -0.007279
9804,	 -0.007279
9806,	 -0.006932
9808,	 -0.006932
9810,	 -0.007105
9812,	 -0.006759
9814,	 -0.007625
9816,	 -0.007451
9818,	 -0.006932
9820,	 -0.006585
9822,	 -0.007279
9824,	 -0.007105
9826,	 -0.007625
9828,	 -0.006585
9830,	 -0.007105
9832,	 -0.007279
9834,	 -0.006932
9836,	 -0.006759
9838,	 -0.006759
9840,	 -0.006932
9842,	 -0.007451
9844,	 -0.006065
9846,	 -0.007105
9848,	 -0.006932
9850,	 -0.007105
9852,	 -0.006759
9854,	 -0.006759
9856,	 -0.006932
9858,	 -0.007451
9860,	 -0.006759
9862,	 -0.007105
9864,	 -0.007105
9866,	 -0.007625
9868,	 -0.006932
9870,	 -0.007279
9872,	 -0.007279
9874,	 -0.007279
9876,	 -0.006585
9878,	 -0.007105
9880,	 -0.006759
9882,	 -0.007105
9884,	 -0.006932
9886,	 -0.006759
9888,	 -0.007105
9890,	 -0.007105
9892,	 -0.006759
9894,	 -0.007279
9896,	 -0.006759
9898,	 -0.007105
9900,	 -0.007279
9902,	 -0.007625
9904,	 -0.007279
9906,	 -0.007972
9908,	 -0.006932
9910,	 -0.007451
9912,	 -0.006932
9914,	 -0.007972
9916,	 -0.007279
9918,	 -0.007279
9920,	 -0.007279
9922,	 -0.007451
9924,	 -0.007279
9926,	 -0.007625
9928,	 -0.006759
9930,	 -0.007105
9932,	 -0.006932
9934,	 -0.007105
9936,	 -0.006932
9938,	 -0.007451
9940,	 -0.007279
9942,	 -0.007279
9944,	 -0.006585
9946,	 -0.006932
9948,	 -0.006759
9950,	 -0.006412
9952,	 -0.007105
9954,	 -0.007451
9956,	 -0.006412
9958,	 -0.006932
9960,	 -0.007279
9962,	 -0.006585
9964,	 -0.006412
9966,	 -0.006759
9968,	 -0.006932
9970,	 -0.006585
9972,	 -0.005719
9974,	 -0.006585
9976,	 -0.005372
9978,	 -0.005372
9980,	 -0.004679
9982,	 -0.004505
9984,	 -0.004332
9986,	 -0.003812
9988,	 -0.002946
9990,	 -0.003292
9992,	 -0.003119
9994,	 -0.002946
9996,	 -0.002599
9998,	 -0.001906
10000,	 -0.002599
10002,	 -0.002253
10004,	 -0.001906
10006,	 -0.002773
10008,	 -0.001733
10010,	 -0.002253
10012,	 -0.001559
10014,	 -0.001906
10016,	 -0.001559
10018,	 -0.001906
10020,	 -0.001386
10022,	 -0.001386
10024,	 -0.001733
10026,	 -0.001559
10028,	 -0.001213
10030,	 -0.001040
10032,	 -0.001559
10034,	 -0.001733
10036,	 -0.000693
10038,	 -0.001040
10040,	 -0.001213
10042,	 -0.001213
10044,	 -0.001213
10046,	 -0.000866
10048,	 -0.001386
10050,	 -0.001559
10052,	 -0.001040
10054,	 -0.001040
10056,	 -0.001213
10058,	 -0.001213
10060,	 -0.000520
10062,	 -0.001213
10064,	 -0.000693
10066,	 -0.001213
10068,	 -0.000866
10070,	 -0.001040
10072,	 -0.001213
10074,	 -0.001213
10076,	 -0.000693
10078,	 -0.000693
10080,	 -0.001559
10082,	 -0.001386
10084,	 -0.000693
10086,	 -0.001559
10088,	 -0.000866
10090,	 -0.001559
10092,	 -0.000866
10094,	 -0.000693
10096,	 -0.001213
10098,	 -0.001040
10100,	 -0.000693
10102,	 -0.000346
10104,	 -0.000693
10106,	 -0.001040
10108,	 -0.000866
10110,	 -0.000866
10112,	 -0.000866
10114,	 -0.001040
10116,	 -0.000693
10118,	 -0.001040
10120,	 -0.000866
10122,	 -0.000693
10124,	 -0.000520
10126,	 -0.000866
10128,	 -0.001213
10130,	 -0.001040
10132,	 -0.000346
10134,	 -0.001040
10136,	 -0.000693
10138,	 -0.000866
10140,	 -0.000693
10142,	 -0.000693
10144,	 -0.000346
10146,	 -0.000866
10148,	 -0.000866
10150,	 -0.000866
10152,	 -0.000346
10154,	 -0.000693
10156,	 -0.000346
10158,	 -0.000346
10160,	 -0.000693
10162,	 -0.001040
10164,	 -0.000866
10166,	 -0.001040
10168,	 -0.000693
10170,	 -0.001040
10172,	 -0.001213
10174,	 -0.000173
10176,	 -0.001213
10178,	 -0.001040
10180,	 -0.000346
10182,	 -0.001213
10184,	 -0.000866
10186,	 -0.000693
10188,	 0.000000
10190,	 -0.000520
10192,	 -0.000693
10194,	 -0.001040
10196,	 -0.000346
10198,	 -0.000346
10200,	 -0.000866
10202,	 -0.001213
10204,	 -0.000520
10206,	 -0.000346
10208,	 -0.000520
10210,	 -0.000866
10212,	 -0.000693
10214,	 -0.000693
10216,	 -0.000693
10218,	 -0.000346
10220,	 -0.000866
10222,	 -0.000866
10224,	 -0.000693
10226,	 -0.000866
10228,	 -0.000520
10230,	 -0.000520
10232,	 -0.000346
10234,	 -0.000866
10236,	 -0.000693
10238,	 -0.000693
10240,	 -0.000520
10242,	 -0.001040
10244,	 -0.000346
10246,	 -0.000346
10248,	 -0.000693
10250,	 -0.000866
10252,	 -0.000693
10254,	 -0.000693
10256,	 -0.000520
10258,	 -0.000866
10260,	 -0.000173
10262,	 -0.000693
10264,	 -0.001213
10266,	 -0.000693
10268,	 -0.000693
10270,	 -0.000520
10272,	 -0.000346
10274,	 -0.000693
10276,	 -0.000520
10278,	 -0.000346
10280,	 -0.000520
10282,	 -0.000346
10284,	 -0.000693
10286,	 -0.000346
10288,	 -0.000693
10290,	 -0.000693
10292,	 -0.000866
10294,	 -0.000693
10296,	 -0.000346
10298,	 -0.000520
10300,	 -0.000346
10302,	 -0.000693
10304,	 -0.000346
10306,	 -0.001040
10308,	 -0.000693
10310,	 -0.001040
10312,	 -0.000173
10314,	 -0.000520
10316,	 -0.000520
10318,	 -0.000866
10320,	 -0.000346
10322,	 -0.000693
10324,	 -0.000693
10326,	 -0.000693
10328,	 -0.000693
10330,	 -0.000520
10332,	 0.000173
10334,	 -0.000693
10336,	 -0.000520
10338,	 -0.000693
10340,	 -0.000346
10342,	 -0.000693
10344,	 -0.000520
10346,	 -0.000520
10348,	 0.000000
10350,	 -0.000693
10352,	 -0.000693
10354,	 -0.000693
10356,	 -0.000173
10358,	 -0.000693
10360,	 -0.000346
10362,	 -0.000866
10364,	 -0.000866
10366,	 0.000000
10368,	 -0.000693
10370,	 -0.001040
10372,	 -0.000346
10374,	 -0.000693
10376,	 -0.000346
10378,	 -0.000346
10380,	 -0.000173
10382,	 -0.001040
10384,	 -0.000520
10386,	 -0.000866
10388,	 -0.000173
10390,	 -0.000693
10392,	 -0.000866
10394,	 -0.001040
10396,	 -0.000520
10398,	 0.000000
10400,	 -0.000346
10402,	 -0.000693
10404,	 -0.000520
10406,	 -0.000693
10408,	 -0.001040
10410,	 -0.000693
10412,	 -0.000346
10414,	 -0.000693
10416,	 -0.000173
10418,	 -0.000693
10420,	 -0.000346
10422,	 -0.000693
10424,	 -0.000346
10426,	 -0.000346
10428,	 -0.000173
10430,	 -0.001040
10432,	 -0.000520
10434,	 -0.000346
10436,	 0.000173
10438,	 -0.001040
10440,	 -0.000693
10442,	 -0.000520
10444,	 -0.000693
10446,	 -0.000346
10448,	 -0.000173
10450,	 -0.000693
10452,	 0.000000
10454,	 0.000000
10456,	 -0.000693
10458,	 -0.000173
10460,	 0.000000
10462,	 -0.000346
10464,	 -0.000693
10466,	 -0.001040
10468,	 -0.000346
10470,	 -0.000346
10472,	 -0.000520
10474,	 -0.000346
10476,	 -0.000346
10478,	 0.000000
10480,	 -0.000693
10482,	 -0.000693
10484,	 -0.000346
10486,	 -0.000346
10488,	 0.000000
10490,	 -0.000693
10492,	 -0.000346
10494,	 -0.000346
10496,	 -0.000693
10498,	 -0.000520
10500,	 -0.000346
10502,	 -0.000346
10504,	 -0.000520
10506,	 -0.000693
10508,	 -0.000346
10510,	 0.000000
10512,	 -0.000693
10514,	 -0.000693
10516,	 -0.000520
10518,	 -0.000693
10520,	 -0.000520
10522,	 -0.000520
10524,	 -0.000520
10526,	 -0.000346
10528,	 -0.000520
10530,	 -0.000173
10532,	 -0.000346
10534,	 -0.001040
10536,	 -0.000866
10538,	 0.000000
10540,	 -0.000173
10542,	 -0.000693
10544,	 -0.000693
10546,	 -0.000693
10548,	 0.000173
10550,	 -0.000520
10552,	 -0.000866
10554,	 -0.000693
10556,	 -0.000346
10558,	 0.000173
10560,	 -0.000866
10562,	 -0.000693
10564,	 -0.000173
10566,	 -0.000520
10568,	 -0.000346
10570,	 -0.000346
10572,	 -0.000346
10574,	 -0.000346
10576,	 -0.000173
10578,	 -0.000693
10580,	 -0.000346
10582,	 -0.001040
10584,	 -0.000346
10586,	 -0.000693
10588,	 -0.000346
10590,	 -0.000520
10592,	 -0.000346
10594,	 -0.000693
10596,	 -0.000346
10598,	 -0.000520
10600,	 -0.000346
10602,	 -0.000346
10604,	 0.000000
10606,	 0.000000
10608,	 -0.000693
10610,	 -0.000693
10612,	 0.000000
10614,	 0.000000
10616,	 -0.000346
10618,	 -0.000520
10620,	 0.000000
10622,	 -0.000346
10624,	 -0.000520
10626,	 -0.000346
10628,	 -0.000693
10630,	 -0.000693
10632,	 -0.000866
10634,	 0.000000
10636,	 -0.000346
10638,	 -0.000346
10640,	 -0.000346
10642,	 -0.000693
10644,	 0.000000
10646,	 0.000000
10648,	 -0.000520
10650,	 -0.000693
10652,	 0.000000
10654,	 -0.000173
10656,	 -0.000693
10658,	 -0.000520
10660,	 -0.000346
10662,	 -0.000346
10664,	 -0.000346
10666,	 -0.000173
10668,	 0.000173
10670,	 -0.000346
10672,	 -0.000866
10674,	 -0.000346
10676,	 0.000000
10678,	 -0.001040
10680,	 -0.000520
10682,	 -0.000346
10684,	 -0.000693
10686,	 0.000000
10688,	 -0.000693
10690,	 -0.000693
10692,	 0.000173
10694,	 -0.000693
10696,	 -0.000866
10698,	 -0.000346
10700,	 0.000000
10702,	 0.000000
10704,	 -0.000346
10706,	 -0.000693
10708,	 -0.000346
10710,	 -0.000520
10712,	 -0.000346
10714,	 -0.000346
10716,	 -0.000346
10718,	 0.000000
10720,	 -0.000346
10722,	 -0.000866
10724,	 -0.000346
10726,	 -0.000693
10728,	 -0.000346
10730,	 -0.000693
10732,	 0.000173
10734,	 -0.000346
10736,	 -0.000866
10738,	 -0.000346
10740,	 -0.000173
10742,	 -0.000693
10744,	 0.000000
10746,	 0.000000
10748,	 -0.000346
10750,	 -0.000693
10752,	 0.000173
10754,	 -0.001040
10756,	 0.000000
10758,	 -0.000346
10760,	 -0.000693
10762,	 -0.000346
10764,	 -0.000346
10766,	 0.000000
10768,	 -0.000520
10770,	 -0.001040
10772,	 0.000173
10774,	 -0.001040
10776,	 -0.000346
10778,	 -0.000520
10780,	 0.000000
10782,	 -0.000520
10784,	 0.000000
10786,	 -0.000693
10788,	 -0.000520
10790,	 -0.000346
10792,	 -0.000173
10794,	 -0.000520
10796,	 -0.000173
10798,	 -0.000520
10800,	 0.000000
10802,	 -0.000866
10804,	 0.000346
10806,	 -0.000693
10808,	 -0.000520
10810,	 -0.000346
10812,	 0.000346
10814,	 -0.000520
10816,	 -0.000693
10818,	 -0.000693
10820,	 -0.000173
10822,	 -0.000866
10824,	 -0.000173
10826,	 -0.000520
10828,	 0.000000
10830,	 -0.000346
10832,	 -0.000346
10834,	 -0.000866
10836,	 -0.000173
10838,	 -0.000346
10840,	 -0.000346
10842,	 -0.000346
10844,	 -0.000346
10846,	 -0.000693
10848,	 0.000173
10850,	 -0.000693
10852,	 -0.000346
10854,	 -0.001213
10856,	 0.000346
10858,	 -0.000693
10860,	 -0.000346
10862,	 -0.000693
10864,	 0.000000
10866,	 -0.000693
10868,	 -0.000346
10870,	 -0.000346
10872,	 -0.000693
10874,	 -0.000693
10876,	 0.000346
10878,	 -0.000346
10880,	 -0.000173
10882,	 -0.000866
10884,	 0.000000
10886,	 -0.000693
10888,	 -0.000520
10890,	 -0.001040
10892,	 -0.000693
10894,	 -0.000173
10896,	 0.000173
10898,	 -0.001040
10900,	 -0.000346
10902,	 -0.000520
10904,	 -0.000346
10906,	 -0.000693
10908,	 -0.000346
10910,	 -0.000693
10912,	 -0.000346
10914,	 -0.000346
10916,	 0.000000
10918,	 -0.000346
10920,	 -0.000693
10922,	 -0.000693
10924,	 0.000000
10926,	 -0.000346
10928,	 -0.000346
10930,	 -0.000346
10932,	 0.000173
10934,	 -0.000520
10936,	 -0.000346
10938,	 -0.000346
10940,	 -0.000520
10942,	 -0.000346
10944,	 -0.000693
10946,	 -0.001040
10948,	 0.000000
10950,	 -0.000346
10952,	 -0.000520
10954,	 -0.000346
10956,	 -0.000346
10958,	 -0.001040
10960,	 -0.000173
10962,	 -0.000693
10964,	 -0.000173
10966,	 -0.000693
10968,	 -0.000693
10970,	 -0.000173
10972,	 -0.000173
10974,	 -0.000346
10976,	 -0.000520
10978,	 -0.000693
10980,	 -0.000173
10982,	 -0.000346
10984,	 0.000000
10986,	 -0.000520
10988,	 0.000000
10990,	 0.000000
10992,	 0.000173
10994,	 -0.000520
10996,	 -0.000173
10998,	 -0.000693
11000,	 -0.000173
11002,	 -0.000346
11004,	 -0.000520
11006,	 -0.001040
11008,	 -0.000346
11010,	 -0.001040
11012,	 0.000173
11014,	 -0.000693
11016,	 -0.000346
11018,	 0.000000
11020,	 0.000173
11022,	 -0.000346
11024,	 -0.000693
11026,	 -0.000693
11028,	 0.000173
11030,	 -0.000346
11032,	 -0.000346
11034,	 -0.000693
11036,	 0.000000
11038,	 0.000000
11040,	 -0.000346
11042,	 -0.000693
11044,	 0.000000
11046,	 -0.000520
11048,	 -0.000520
11050,	 -0.000346
11052,	 -0.000693
11054,	 -0.000346
11056,	 -0.000173
11058,	 -0.000693
11060,	 -0.000346
11062,	 -0.000346
11064,	 -0.000346
11066,	 -0.000346
11068,	 -0.000520
11070,	 -0.000346
11072,	 -0.000693
11074,	 -0.000520
11076,	 0.000000
11078,	 -0.000520
11080,	 -0.000520
11082,	 -0.000693
11084,	 0.000000
11086,	 -0.000346
11088,	 -0.000693
11090,	 -0.000346
11092,	 -0.000173
11094,	 -0.000173
11096,	 -0.000866
11098,	 -0.000346
11100,	 0.000000
11102,	 -0.000173
11104,	 -0.000693
11106,	 -0.000346
11108,	 0.000000
11110,	 -0.000346
11112,	 -0.000346
11114,	 -0.000346
11116,	 -0.000346
11118,	 -0.000693
11120,	 -0.000520
11122,	 -0.000520
11124,	 -0.000173
11126,	 -0.000346
11128,	 -0.000693
11130,	 -0.000346
11132,	 -0.000346
11134,	 0.000000
11136,	 -0.000693
11138,	 -0.000866
11140,	 0.000000
11142,	 -0.000693
11144,	 -0.000866
11146,	 0.000000
11148,	 -0.000346
11150,	 0.000000
11152,	 0.000000
11154,	 -0.000520
11156,	 -0.000346
11158,	 -0.000520
11160,	 -0.000346
11162,	 0.000000
11164,	 -0.000346
11166,	 -0.000693
11168,	 -0.000173
11170,	 -0.000346
11172,	 -0.000520
11174,	 -0.000346
11176,	 -0.000346
11178,	 0.000000
11180,	 0.000000
11182,	 -0.000346
11184,	 -0.000693
11186,	 -0.000693
11188,	 0.000346
11190,	 -0.000346
11192,	 -0.000693
11194,	 -0.000520
11196,	 0.000000
11198,	 0.000000
11200,	 -0.000693
11202,	 -0.000346
11204,	 -0.000520
11206,	 -0.000346
11208,	 0.000000
11210,	 -0.000693
11212,	 0.000000
11214,	 0.000173
11216,	 -0.000693
11218,	 -0.000520
11220,	 0.000173
11222,	 -0.000346
11224,	 -0.000346
11226,	 -0.000693
11228,	 -0.000520
11230,	 0.000173
11232,	 -0.000693
11234,	 0.000000
11236,	 -0.000173
11238,	 -0.000866
11240,	 -0.000346
11242,	 -0.000346
11244,	 -0.000346
11246,	 -0.000346
11248,	 -0.000693
11250,	 -0.000866
11252,	 0.000173
11254,	 -0.000520
11256,	 -0.000346
11258,	 -0.000520
11260,	 -0.000173
11262,	 -0.000346
11264,	 -0.000173
11266,	 -0.000346
11268,	 -0.000346
11270,	 -0.000693
11272,	 -0.000346
11274,	 -0.000866
11276,	 0.000000
11278,	 -0.000346
11280,	 -0.000346
11282,	 -0.000693
11284,	 -0.000173
11286,	 -0.000693
11288,	 -0.000346
11290,	 -0.000346
11292,	 0.000000
11294,	 -0.000173
11296,	 -0.000173
11298,	 -0.000693
11300,	 0.000000
11302,	 -0.000693
11304,	 -0.000693
11306,	 -0.000520
11308,	 -0.000346
11310,	 -0.000346
11312,	 -0.000346
11314,	 -0.000693
11316,	 0.000173
11318,	 -0.000693
11320,	 -0.000173
11322,	 -0.000693
11324,	 0.000000
11326,	 -0.000693
11328,	 -0.000346
11330,	 -0.000520
11332,	 -0.000520
11334,	 -0.000520
11336,	 -0.000346
11338,	 -0.000173
11340,	 0.000000
11342,	 -0.000520
11344,	 -0.000693
11346,	 -0.001040
11348,	 0.000173
11350,	 -0.000346
11352,	 -0.000520
11354,	 -0.000693
11356,	 -0.000346
11358,	 0.000000
11360,	 -0.000693
11362,	 -0.000866
11364,	 -0.000173
11366,	 -0.000346
11368,	 -0.000346
11370,	 -0.000866
11372,	 0.000000
11374,	 -0.000693
11376,	 -0.000346
11378,	 -0.000520
11380,	 0.000000
11382,	 -0.000866
11384,	 -0.000866
11386,	 -0.000173
11388,	 0.000000
11390,	 -0.000173
11392,	 -0.000173
11394,	 -0.000520
11396,	 0.000173
11398,	 -0.000693
11400,	 -0.000346
11402,	 -0.000346
11404,	 -0.000173
11406,	 0.000000
11408,	 -0.001040
11410,	 0.000000
11412,	 0.000000
11414,	 -0.000520
11416,	 -0.000173
11418,	 -0.000693
11420,	 0.000173
11422,	 -0.000173
11424,	 -0.000520
11426,	 -0.000693
11428,	 0.000173
11430,	 -0.000346
11432,	 -0.000520
11434,	 -0.000346
11436,	 -0.000346
11438,	 -0.000173
11440,	 -0.000346
11442,	 -0.000520
11444,	 0.000000
11446,	 -0.000693
11448,	 -0.000520
11450,	 -0.000693
11452,	 0.000173
11454,	 -0.000346
11456,	 -0.000173
11458,	 -0.000520
11460,	 -0.000346
11462,	 -0.000346
11464,	 -0.000520
11466,	 -0.000520
11468,	 -0.000173
11470,	 -0.000693
11472,	 0.000000
11474,	 -0.000693
11476,	 0.000000
11478,	 -0.000173
11480,	 -0.000346
11482,	 -0.000693
11484,	 -0.000173
11486,	 0.000173
11488,	 -0.000346
11490,	 -0.001040
11492,	 -0.000693
11494,	 -0.000693
11496,	 -0.000173
11498,	 0.000000
11500,	 -0.000173
11502,	 -0.000173
11504,	 -0.000520
11506,	 -0.000346
11508,	 0.000000
11510,	 -0.000866
11512,	 -0.000173
11514,	 -0.000520
11516,	 0.000000
11518,	 -0.000346
11520,	 -0.000346
11522,	 -0.000866
11524,	 0.000173
11526,	 -0.000346
11528,	 -0.000520
11530,	 -0.000520
11532,	 -0.000346
11534,	 -0.000346
11536,	 -0.000346
11538,	 0.000000
11540,	 -0.000173
11542,	 -0.000520
11544,	 -0.000346
11546,	 -0.000346
11548,	 -0.000173
11550,	 -0.000346
11552,	 -0.000173
11554,	 -0.000693
11556,	 0.000000
11558,	 0.000000
11560,	 -0.000173
11562,	 -0.000693
11564,	 -0.000346
11566,	 0.000000
11568,	 -0.000346
11570,	 -0.000693
11572,	 -0.000346
11574,	 -0.000693
11576,	 -0.000693
11578,	 -0.000346
11580,	 0.000000
11582,	 -0.000346
11584,	 -0.000346
11586,	 -0.001040
11588,	 -0.000346
11590,	 -0.000346
11592,	 -0.000173
11594,	 -0.000693
11596,	 0.000000
11598,	 -0.000173
11600,	 -0.000346
11602,	 -0.000346
11604,	 -0.000173
11606,	 -0.000693
11608,	 -0.000693
11610,	 0.000000
11612,	 0.000000
11614,	 -0.000346
11616,	 -0.000346
11618,	 -0.000520
11620,	 0.000000
11622,	 -0.000520
11624,	 -0.000346
11626,	 -0.000520
11628,	 -0.000693
11630,	 0.000173
11632,	 -0.000693
11634,	 -0.000520
11636,	 -0.000173
11638,	 0.000000
11640,	 -0.000346
11642,	 -0.000346
11644,	 -0.000520
11646,	 -0.000346
11648,	 -0.000520
11650,	 -0.000520
11652,	 0.000000
11654,	 -0.000346
11656,	 -0.000346
11658,	 -0.000346
11660,	 -0.000346
11662,	 -0.000346
11664,	 -0.000693
11666,	 -0.000866
11668,	 -0.000346
11670,	 -0.000173
11672,	 -0.000346
11674,	 -0.000693
11676,	 0.000000
11678,	 0.000000
11680,	 -0.000520
11682,	 -0.000693
11684,	 -0.000346
11686,	 -0.000693
11688,	 -0.000520
11690,	 -0.000173
11692,	 0.000000
11694,	 -0.000346
11696,	 -0.000520
11698,	 -0.000520
11700,	 0.000173
11702,	 -0.000693
11704,	 -0.000346
11706,	 -0.000520
11708,	 -0.000346
11710,	 -0.000346
11712,	 -0.000346
11714,	 -0.000693
11716,	 0.000173
11718,	 -0.000520
11720,	 -0.000346
11722,	 -0.000693
11724,	 -0.000173
11726,	 0.000000
11728,	 -0.000346
11730,	 -0.001040
11732,	 -0.000173
11734,	 -0.000520
11736,	 -0.000346
11738,	 -0.000346
11740,	 -0.000346
11742,	 0.000000
11744,	 -0.000346
11746,	 -0.000520
11748,	 0.000173
11750,	 -0.000693
11752,	 -0.000346
11754,	 -0.000346
11756,	 0.000000
11758,	 -0.000520
11760,	 -0.000346
11762,	 -0.001040
11764,	 0.000173
11766,	 -0.000346
11768,	 -0.000346
11770,	 -0.000520
11772,	 0.000000
11774,	 -0.000346
11776,	 -0.000346
11778,	 -0.001040
11780,	 0.000000
11782,	 -0.000346
11784,	 -0.000693
11786,	 -0.000520
11788,	 0.000346
11790,	 0.000173
11792,	 -0.000520
11794,	 -0.001040
11796,	 -0.000346
11798,	 -0.000520
11800,	 -0.000173
11802,	 -0.000520
11804,	 -0.000346
11806,	 -0.000520
11808,	 0.000693
11810,	 -0.000520
11812,	 -0.000520
11814,	 -0.000693
11816,	 -0.000693
11818,	 -0.000346
11820,	 0.000000
11822,	 -0.000346
11824,	 -0.000866
11826,	 -0.000866
11828,	 0.000173
11830,	 -0.000346
11832,	 -0.000866
11834,	 -0.000693
11836,	 0.000000
11838,	 -0.000693
11840,	 -0.000346
11842,	 -0.000346
11844,	 -0.000346
11846,	 -0.000693
11848,	 -0.000520
11850,	 -0.000520
11852,	 0.000000
11854,	 -0.000346
11856,	 -0.000346
11858,	 -0.000346
11860,	 0.000173
11862,	 -0.000693
11864,	 -0.000346
11866,	 -0.000693
11868,	 -0.000173
11870,	 -0.000346
11872,	 0.000000
11874,	 -0.000693
11876,	 0.000000
11878,	 -0.000173
11880,	 -0.000693
11882,	 -0.000693
11884,	 -0.000346
11886,	 0.000173
11888,	 -0.000346
11890,	 -0.000693
11892,	 0.000173
11894,	 -0.001040
11896,	 -0.000346
11898,	 0.000000
11900,	 0.000173
11902,	 -0.000693
11904,	 -0.000346
11906,	 -0.000693
11908,	 -0.000520
11910,	 -0.000693
11912,	 -0.000346
11914,	 -0.000693
11916,	 -0.000346
11918,	 -0.000346
11920,	 -0.000346
11922,	 -0.000346
11924,	 -0.000346
11926,	 -0.000346
11928,	 -0.000346
11930,	 -0.000693
11932,	 0.000173
11934,	 0.000000
11936,	 -0.000346
11938,	 -0.000520
11940,	 -0.000346
11942,	 -0.000693
11944,	 -0.000346
11946,	 -0.000346
11948,	 0.000000
11950,	 -0.000173
11952,	 -0.000173
11954,	 -0.001040
11956,	 0.000000
11958,	 -0.000173
11960,	 -0.000346
11962,	 -0.000693
11964,	 -0.000346
11966,	 -0.000520
11968,	 -0.000173
11970,	 -0.000693
11972,	 -0.000346
11974,	 -0.000520
11976,	 -0.000520
11978,	 -0.000346
11980,	 -0.000346
11982,	 -0.001040
11984,	 -0.000346
11986,	 0.000000
11988,	 -0.000346
11990,	 0.000000
11992,	 -0.000173
11994,	 -0.000693
11996,	 0.000000
11998,	 0.000346
12000,	 -0.000346
12002,	 -0.000866
12004,	 0.000000
12006,	 -0.000520
12008,	 -0.000346
12010,	 -0.000173
12012,	 -0.000520
12014,	 0.000000
12016,	 -0.000346
12018,	 -0.000866
12020,	 -0.000346
12022,	 -0.000520
12024,	 -0.000693
12026,	 -0.000173
12028,	 -0.000346
12030,	 0.000000
12032,	 -0.000520
12034,	 -0.000520
12036,	 -0.000346
12038,	 -0.000693
12040,	 -0.000346
12042,	 0.000000
12044,	 -0.000693
12046,	 0.000000
12048,	 -0.000520
12050,	 -0.000520
12052,	 0.000000
12054,	 -0.000346
12056,	 0.000173
12058,	 -0.000693
12060,	 -0.000346
12062,	 0.000000
12064,	 -0.000173
12066,	 -0.000346
12068,	 0.000000
12070,	 -0.000520
12072,	 -0.000693
12074,	 0.000000
12076,	 0.000173
12078,	 -0.000346
12080,	 -0.000520
12082,	 -0.000346
12084,	 0.000000
12086,	 -0.000693
12088,	 -0.000693
12090,	 0.000000
12092,	 0.000173
12094,	 -0.000346
12096,	 -0.000520
12098,	 -0.000520
12100,	 0.000000
12102,	 -0.000520
12104,	 -0.000346
12106,	 -0.000693
12108,	 -0.000693
12110,	 0.000173
12112,	 -0.000173
12114,	 -0.000866
12116,	 -0.000346
12118,	 -0.000520
12120,	 -0.000346
12122,	 -0.000346
12124,	 -0.000173
12126,	 0.000173
12128,	 -0.000693
12130,	 0.000000
12132,	 -0.000346
12134,	 -0.000693
12136,	 0.000173
12138,	 -0.000693
12140,	 -0.000173
12142,	 0.000000
12144,	 -0.000520
12146,	 -0.000693
12148,	 0.000173
12150,	 -0.000346
12152,	 -0.000173
12154,	 -0.000346
12156,	 0.000000
12158,	 -0.000346
12160,	 0.000000
12162,	 -0.000693
12164,	 -0.000173
12166,	 -0.000346
12168,	 0.000173
12170,	 -0.000693
12172,	 -0.000346
12174,	 0.000000
12176,	 -0.000693
12178,	 -0.000520
12180,	 0.000000
12182,	 -0.000866
12184,	 0.000173
12186,	 -0.000346
12188,	 -0.000346
12190,	 -0.000346
12192,	 -0.000346
12194,	 -0.000346
12196,	 -0.000173
12198,	 -0.000520
12200,	 -0.000346
12202,	 0.000173
12204,	 0.000000
12206,	 -0.000693
12208,	 -0.000346
12210,	 -0.000866
12212,	 0.000173
12214,	 -0.000520
12216,	 -0.000346
12218,	 -0.000520
12220,	 -0.000346
12222,	 -0.000346
12224,	 -0.000173
12226,	 -0.000866
12228,	 -0.000173
12230,	 -0.000346
12232,	 -0.000346
12234,	 -0.000520
12236,	 0.000000
12238,	 -0.000173
12240,	 -0.000520
12242,	 -0.001040
12244,	 0.000346
12246,	 0.000000
12248,	 -0.000173
12250,	 -0.000346
12252,	 0.000000
12254,	 -0.000346
12256,	 -0.000346
12258,	 -0.001040
12260,	 -0.000346
12262,	 -0.000693
12264,	 0.000000
12266,	 -0.000346
12268,	 0.000000
12270,	 -0.000173
12272,	 -0.000346
12274,	 -0.000520
12276,	 0.000173
12278,	 -0.000520
12280,	 -0.000693
12282,	 -0.000866
12284,	 0.000000
12286,	 -0.000346
12288,	 0.000000
12290,	 -0.001040
12292,	 -0.000173
12294,	 -0.000520
12296,	 0.000000
12298,	 -0.000346
12300,	 0.000000
12302,	 -0.000346
12304,	 -0.000346
12306,	 -0.000693
12308,	 0.000000
12310,	 -0.000346
12312,	 0.000000
12314,	 -0.000866
12316,	 -0.000173
12318,	 -0.000346
12320,	 0.000173
12322,	 -0.000693
12324,	 0.000000
12326,	 -0.000346
12328,	 -0.000693
12330,	 -0.000520
12332,	 0.000000
12334,	 -0.001040
12336,	 -0.000693
12338,	 -0.000173
12340,	 0.000173
12342,	 -0.000520
