time [nanoSec],	 voltage[mV] 
638,	 -0.007279
640,	 -0.007279
642,	 -0.007972
644,	 -0.007279
646,	 -0.007279
648,	 -0.007279
650,	 -0.007279
652,	 -0.006932
654,	 -0.007105
656,	 -0.007279
658,	 -0.007798
660,	 -0.006932
662,	 -0.007625
664,	 -0.007279
666,	 -0.007451
668,	 -0.007279
670,	 -0.007279
672,	 -0.007279
674,	 -0.007451
676,	 -0.007105
678,	 -0.007279
680,	 -0.007451
682,	 -0.007625
684,	 -0.007279
686,	 -0.007105
688,	 -0.006932
690,	 -0.007625
692,	 -0.007279
694,	 -0.007972
696,	 -0.006932
698,	 -0.007451
700,	 -0.007279
702,	 -0.007279
704,	 -0.007105
706,	 -0.007625
708,	 -0.006932
710,	 -0.007105
712,	 -0.007625
714,	 -0.007625
716,	 -0.006932
718,	 -0.007105
720,	 -0.006932
722,	 -0.007625
724,	 -0.007279
726,	 -0.007451
728,	 -0.007625
730,	 -0.007279
732,	 -0.006759
734,	 -0.007279
736,	 -0.007625
738,	 -0.007105
740,	 -0.006932
742,	 -0.007105
744,	 -0.006759
746,	 -0.007105
748,	 -0.006759
750,	 -0.006759
752,	 -0.006932
754,	 -0.007451
756,	 -0.006932
758,	 -0.007625
760,	 -0.007625
762,	 -0.007451
764,	 -0.007105
766,	 -0.006585
768,	 -0.007451
770,	 -0.007451
772,	 -0.007279
774,	 -0.007972
776,	 -0.007279
778,	 -0.007451
780,	 -0.006932
782,	 -0.006759
784,	 -0.007798
786,	 -0.007279
788,	 -0.006932
790,	 -0.007105
792,	 -0.006932
794,	 -0.007105
796,	 -0.006932
798,	 -0.007279
800,	 -0.007279
802,	 -0.007972
804,	 -0.007279
806,	 -0.007279
808,	 -0.007279
810,	 -0.007279
812,	 -0.006932
814,	 -0.007105
816,	 -0.007798
818,	 -0.007105
820,	 -0.006759
822,	 -0.007625
824,	 -0.007105
826,	 -0.007451
828,	 -0.007279
830,	 -0.006932
832,	 -0.007451
834,	 -0.007625
836,	 -0.006932
838,	 -0.007625
840,	 -0.007798
842,	 -0.007451
844,	 -0.006759
846,	 -0.006759
848,	 -0.007279
850,	 -0.007625
852,	 -0.006932
854,	 -0.007625
856,	 -0.007279
858,	 -0.007279
860,	 -0.007798
862,	 -0.007625
864,	 -0.007798
866,	 -0.007451
868,	 -0.007105
870,	 -0.007625
872,	 -0.007625
874,	 -0.007279
876,	 -0.006932
878,	 -0.006759
880,	 -0.007105
882,	 -0.007798
884,	 -0.006759
886,	 -0.007105
888,	 -0.006759
890,	 -0.007279
892,	 -0.007279
894,	 -0.006759
896,	 -0.007279
898,	 -0.007105
900,	 -0.006932
902,	 -0.007625
904,	 -0.007451
906,	 -0.007105
908,	 -0.006932
910,	 -0.007105
912,	 -0.007625
914,	 -0.007451
916,	 -0.006759
918,	 -0.007105
920,	 -0.007625
922,	 -0.007105
924,	 -0.006759
926,	 -0.006932
928,	 -0.006759
930,	 -0.006759
932,	 -0.007105
934,	 -0.007625
936,	 -0.007625
938,	 -0.007625
940,	 -0.006932
942,	 -0.006932
944,	 -0.007625
946,	 -0.007451
948,	 -0.007105
950,	 -0.007279
952,	 -0.007451
954,	 -0.007105
956,	 -0.007105
958,	 -0.007279
960,	 -0.007105
962,	 -0.007625
964,	 -0.007105
966,	 -0.007451
968,	 -0.007625
970,	 -0.007451
972,	 -0.006932
974,	 -0.007279
976,	 -0.007105
978,	 -0.007972
980,	 -0.007279
982,	 -0.006759
984,	 -0.007279
986,	 -0.007625
988,	 -0.006932
990,	 -0.006932
992,	 -0.007451
994,	 -0.007451
996,	 -0.007279
998,	 -0.007451
1000,	 -0.007279
1002,	 -0.007451
1004,	 -0.006932
1006,	 -0.006759
1008,	 -0.006412
1010,	 -0.007279
1012,	 -0.006932
1014,	 -0.007105
1016,	 -0.007279
1018,	 -0.007972
1020,	 -0.006932
1022,	 -0.007279
1024,	 -0.007451
1026,	 -0.007451
1028,	 -0.006759
1030,	 -0.007105
1032,	 -0.007279
1034,	 -0.007451
1036,	 -0.006238
1038,	 -0.007105
1040,	 -0.007279
1042,	 -0.007625
1044,	 -0.007105
1046,	 -0.007105
1048,	 -0.006759
1050,	 -0.007451
1052,	 -0.006932
1054,	 -0.007105
1056,	 -0.007451
1058,	 -0.007451
1060,	 -0.006932
1062,	 -0.007451
1064,	 -0.007105
1066,	 -0.007451
1068,	 -0.006932
1070,	 -0.007105
1072,	 -0.007451
1074,	 -0.007451
1076,	 -0.006585
1078,	 -0.007279
1080,	 -0.007105
1082,	 -0.007451
1084,	 -0.007279
1086,	 -0.007105
1088,	 -0.007451
1090,	 -0.007625
1092,	 -0.006932
1094,	 -0.007279
1096,	 -0.007625
1098,	 -0.007451
1100,	 -0.006759
1102,	 -0.007279
1104,	 -0.007105
1106,	 -0.007105
1108,	 -0.007105
1110,	 -0.007279
1112,	 -0.006585
1114,	 -0.007451
1116,	 -0.006932
1118,	 -0.007105
1120,	 -0.006759
1122,	 -0.007279
1124,	 -0.006412
1126,	 -0.007279
1128,	 -0.007105
1130,	 -0.007451
1132,	 -0.007279
1134,	 -0.007625
1136,	 -0.007279
1138,	 -0.007279
1140,	 -0.006759
1142,	 -0.007798
1144,	 -0.007451
1146,	 -0.007451
1148,	 -0.006932
1150,	 -0.006759
1152,	 -0.007451
1154,	 -0.007105
1156,	 -0.006932
1158,	 -0.007972
1160,	 -0.006932
1162,	 -0.007279
1164,	 -0.007279
1166,	 -0.007105
1168,	 -0.007279
1170,	 -0.007105
1172,	 -0.006759
1174,	 -0.007625
1176,	 -0.007105
1178,	 -0.007451
1180,	 -0.007279
1182,	 -0.007105
1184,	 -0.007279
1186,	 -0.007279
1188,	 -0.007105
1190,	 -0.007105
1192,	 -0.007279
1194,	 -0.007105
1196,	 -0.006932
1198,	 -0.006759
1200,	 -0.007279
1202,	 -0.007451
1204,	 -0.006932
1206,	 -0.007798
1208,	 -0.006932
1210,	 -0.007625
1212,	 -0.007451
1214,	 -0.007105
1216,	 -0.006932
1218,	 -0.007625
1220,	 -0.006932
1222,	 -0.007451
1224,	 -0.007105
1226,	 -0.006759
1228,	 -0.007279
1230,	 -0.007279
1232,	 -0.007972
1234,	 -0.007625
1236,	 -0.007105
1238,	 -0.007798
1240,	 -0.007798
1242,	 -0.007279
1244,	 -0.007279
1246,	 -0.007279
1248,	 -0.007451
1250,	 -0.007451
1252,	 -0.006932
1254,	 -0.007279
1256,	 -0.007625
1258,	 -0.007451
1260,	 -0.007105
1262,	 -0.007625
1264,	 -0.007451
1266,	 -0.007625
1268,	 -0.007105
1270,	 -0.007451
1272,	 -0.007451
1274,	 -0.007105
1276,	 -0.006932
1278,	 -0.007279
1280,	 -0.007279
1282,	 -0.007451
1284,	 -0.006932
1286,	 -0.007451
1288,	 -0.007451
1290,	 -0.007625
1292,	 -0.007105
1294,	 -0.006932
1296,	 -0.007625
1298,	 -0.007451
1300,	 -0.007279
1302,	 -0.007972
1304,	 -0.007279
1306,	 -0.007625
1308,	 -0.007279
1310,	 -0.007451
1312,	 -0.007279
1314,	 -0.007798
1316,	 -0.006759
1318,	 -0.007451
1320,	 -0.007798
1322,	 -0.007451
1324,	 -0.006585
1326,	 -0.007105
